BoekingsType;Hoofdgroep;Subgroep;BoekingsCode;Volgnr;Beschermd
Inkomsten;Levend geld;;9.1;10;
Inkomsten;Bijzondere giften;;9.2;20;
Inkomsten;Verhuur na aftrek PGL;;9.3;30;
Inkomsten;Rente en diversen;;9.4;40;
Uitgaven;Bloemenfonds;Bloemenfonds zondagse vieringen;1.1;50;
Uitgaven;Commissie Eredienst;Liturgie;1.2;60;
Uitgaven;Commissie Eredienst;Kaarsen;1.3;70;
Uitgaven;Commissie Eredienst;Koffie;1.4;80;
Uitgaven;Commissie Eredienst;Bijzondere vieringen;1.5;90;
Uitgaven;Commissie Eredienst;Kostersvergoeding;1.6;100;
Uitgaven;Commissie Eredienst;Kerkwebradio;1.7;110;
Uitgaven;Commissie Eredienst;Piano;1.8;120;
Uitgaven;Commissie Eredienst;Avondmaal;1.9;130;
Uitgaven;Pastoraat;Ouderenwerk;2.2;140;
Uitgaven;Pastoraat;Diversen (o.a. boottocht);2.3;150;
Uitgaven;Opbouwwerk;Kliederkerk e.d.;2.5;160;
Uitgaven;Opbouwwerk;Diversen;2.6;170;
Uitgaven;Administratiekosten;Bankkosten;3.1;180;
Uitgaven;Administratiekosten;Wijkfonds en actie kerkbalans;3.2;190;
Uitgaven;Administratiekosten;Kopieerapparaat;3.3;200;
Uitgaven;Administratiekosten;Diversen;3.4;210;
Uitgaven;Communicatie;Wijkinfo;3.5;220;
Uitgaven;Communicatie;Webstie hosting;3.6;230;
Uitgaven;Kerkenraadskosten;Abonnementen;3.7;240;
Uitgaven;Kerkenraadskosten;Gemeentebijeenkomsten;3.8;250;
Uitgaven;Kerkenraadskosten;Representatiekosten;3.9;260;
Uitgaven;Kerkenraadskosten;Diversen;3.9.1;270;
Uitgaven;Kosten Pelgrim;Plakaat / logo;4.1;280;
Uitgaven;Kosten Pelgrim;Inrichting, onderhoud en schoonmaak;4.2;290;
Uitgaven;Kosten Pelgrim;Beheervergoeding;4.3;300;
Uitgaven;Kosten Verdieping;Schoonmaak;4.5;310;
Uitgaven;Kosten Verdieping;Diversen;4.6;320;
Overboekingen;Kruisposten;;5;410;
Overboekingen;Afdracht aan PGL (Verhuur 40%) ;;5.1;420;
Uitgaven;Buurtinitiatief;;6.1;350;
Uitgaven;HAVAD;;6.2;360;
