Realistatie 2023 en begroting 2024 wijkgemeente Leiden Zuidwest;;;;
;;Realisatie;Begroting ;Begroting 
;;2023;2023;2024
Inkomsten;;;;
;Levend geld;7.784,74;5.500,00;7.000,00
;Bijzondere giften;7.250,00;;
;Verhuur;1.732,45;1.100,00;1.500,00
;Rente en diversen;17,66;800;500
;;;;
;TOTALE Inkomsten;16.784,85;7.400,00;9.000,00
;;;;
Uitgaven;;;;
Bloemenfonds;Bloemenfonds zondagse vieringen;599,42;900;700
;;;;
Commissie Eredienst;;;;
;Liturgie;30,5;500;300
;Kaarsen;231,85;250;250
;Koffie;84,69;340;100
;Bijzondere vieringen;483,51;;50
;Kostersvergoeding;-750;;
;Kerkwebradio;186,72;270;300
;Piano;160;;90
;Avondmaal;40,74;100;100
;TOTAAL;468,01;1.460,00;1.190,00
;;;;
Pastoraat;Ouderenwerk;141,62;140;500
;Diversen (o.a. boottocht);-20,32;1.500,00;250
;TOTAAL;121,3;1.640,00;750
;;;;
Kosten Verdieping;Schoonmaak;118,48;150;2.100,00
;Diversen;;400;400
;TOTAAL;118,48;550;2.500,00
;;;;
Kosten Pelgrim;Plakaat / logo;;;1.500,00
;Inrichting, onderhoud en schoonmaak;4.136,81;300;1.000,00
;Beheervergoeding;1.800,00;;1.900,00
;TOTAAL;5.936,81;300;4.400,00
;;;;
Opbouwwerk;Kliederkerk e.d.;17,13;;500
;Diversen;;500;500
;TOTAAL;17,13;500;1.000,00
;;;;
Administratiekosten;Bankkosten;355,46;500;600
;Wijkfonds en actie kerkbalans;739,35;200;700
;Kopieerapparaat;1.370,76;;
;Diversen;;100;100
;TOTAAL;2.465,57;800;1.400,00
;;;;
Communicatie;Wijkinfo;605,92;600;300
;Webstie hosting;;300;400
;TOTAAL;605,92;900;700
;;;;
Kerkenraadskosten;Abonnementen;186,99;;200
;Gemeentebijeenkomsten;102,43;;
;Representatiekosten;172,48;;150
;Diversen;81,23;1.170,00;150
;TOTAAL;543,13;1.170,00;500
;;;;
Buurtinitiatief;;3.134,89;;
HAVAD;;-600;;
Overboekingen;;3.980,30;;
;;;;
;;;;
;Totale uitgaven;17.390,96;8.220,00;13.140,00
;Totale ontvangsten;16.784,85;7.400,00;9.000,00
;;;;
;;;;
;;31-12-2023;01-01-2023;
Saldo HAVAD rekening;;2.256,75;0;
Spaarrekening;;73.492,69;69.000,00;
Spaaractie 40 dagen;;491,31;0;
Buurtinitiatief;;3.146,71;0;
betaalrekening;;245,28;871,39;
