Boekingstype;Hoofdgroep;Subgroep;Boekingscode;Volgnr;Beschermd
Inkomsten;Levend geld;;I9.1;10;False
Inkomsten;Bijzondere giften;;I9.2;20;False
Inkomsten;Verhuur;;I9.3;30;False
Inkomsten;Rente en diversen;;I9.4;40;False
Uitgaven;Bloemenfonds;Bloemenfonds zondagse vieringen;U1.1;50;False
Uitgaven;Commissie Eredienst;Liturgie;U1.2;60;False
Uitgaven;Commissie Eredienst;Kaarsen;U1.3;70;False
Uitgaven;Commissie Eredienst;Koffie;U1.4;80;False
Uitgaven;Commissie Eredienst;Bijzondere vieringen;U1.5;90;False
Uitgaven;Commissie Eredienst;Kostersvergoeding;U1.6;100;False
Uitgaven;Commissie Eredienst;Kerkwebradio;U1.7;110;False
Uitgaven;Commissie Eredienst;Piano;U1.8;120;False
Uitgaven;Commissie Eredienst;Avondmaal;U1.9;130;False
Uitgaven;Pastoraat;Ouderenwerk;U2.2;140;False
Uitgaven;Pastoraat;Diversen (o.a. boottocht);U2.3;150;False
Uitgaven;Opbouwwerk;Kliederkerk e.d.;U2.5;160;False
Uitgaven;Opbouwwerk;Diversen;U2.6;170;False
Uitgaven;Administratiekosten;Bankkosten;U3.1;180;False
Uitgaven;Administratiekosten;Wijkfonds en actie kerkbalans;U3.2;190;False
Uitgaven;Administratiekosten;Kopieerapparaat;U3.3;200;False
Uitgaven;Administratiekosten;Diversen;U3.4;210;False
Uitgaven;Communicatie;Wijkinfo;U3.5;220;False
Uitgaven;Communicatie;Webstie hosting;U3.6;230;False
Uitgaven;Kerkenraadskosten;Abonnementen;U3.7;240;False
Uitgaven;Kerkenraadskosten;Gemeentebijeenkomsten;U3.8;250;False
Uitgaven;Kerkenraadskosten;Representatiekosten;U3.9;260;False
Uitgaven;Kerkenraadskosten;Diversen;U3.9.1;270;False
Uitgaven;Kosten Pelgrim;Plakaat / logo;U4.1;280;False
Uitgaven;Kosten Pelgrim;Inrichting, onderhoud en schoonmaak;U4.2;290;False
Uitgaven;Kosten Pelgrim;Beheervergoeding;U4.3;300;False
Uitgaven;Kosten Verdieping;Schoonmaak;U4.5;310;False
Uitgaven;Kosten Verdieping;Diversen;U4.6;320;False
Overboekingen;Kruisposten;;K5.0;410;False
Overboekingen;Afdracht aan PGL (Verhuur 40%) ;;K5.1;420;False
Uitgaven;Buurtinitiatief;;U6.1;350;False
Uitgaven;HAVAD;;U6.2;360;False
Inkomsten;Overige inkomsten;;;41;True
Uitgaven;Overige uitgaven;;;361;True
Overboekingen;Overboekingen;;;421;True
